Type,Days for shipment (scheduled),Benefit per order,Sales per customer,Category Id,Category Name,Customer Segment,Department Id,Department Name,Latitude,Longitude,Market,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Product Price,Shipping Mode,shipping_pressure_idx,mode_risk_flag,regional_congestion_idx,order_complexity_score,order_value_per_unit,profit_margin,high_discount_flag,benefit_per_unit,Actual_Late,Late_Probability,Risk_Category
DEBIT,1,-13.49,189.99,48,Water Sports,Consumer,7,Fan Shop,18.29030228,-66.37062073,USCA,10.0,0.05,199.99,-0.07,1,199.99,189.99,-13.49,East of USA,199.99,First Class,0.5,0,0.5549381609607457,0.1666666666666666,99.995,-0.0671177670530872,0,-6.745,1,0.99947,High
DEBIT,1,139.3,296.39,63,Children's Clothing,Consumer,4,Apparel,32.87014008,-96.75692749,Europe,60.71,0.17,357.1,0.47,1,357.1,296.39,139.3,Western Europe,357.1,First Class,0.5,0,0.5572617350926394,0.2066666666666666,178.55,0.3889974867355487,1,69.65,1,0.999431,High
DEBIT,1,-319.98,399.98,45,Fishing,Consumer,7,Fan Shop,34.17395783,-118.3494263,LATAM,0.0,0.0,399.98,-0.8,1,399.98,399.98,-319.98,South America,399.98,First Class,0.5,0,0.544642104375685,0.15,199.99,-0.7979949124644621,0,-159.99,1,0.999431,High
DEBIT,1,140.6,468.67,68,Garden,Home Office,6,Outdoors,18.20327377,-66.03705597,Pacific Asia,63.91,0.12,532.58,0.3,1,532.58,468.67,140.6,Eastern Asia,532.58,First Class,0.5,0,0.5416951469583049,0.19,266.29,0.2635031298024663,1,70.3,1,0.999429,High
PAYMENT,1,157.91,335.98,45,Fishing,Corporate,7,Fan Shop,39.69681549,-104.8411789,Pacific Asia,64.0,0.16,399.98,0.47,1,399.98,335.98,157.91,Southeast Asia,399.98,First Class,0.5,0,0.5522151898734177,0.2033333333333333,199.99,0.393810165095516,1,78.955,1,0.999391,High
DEBIT,1,-80.0,399.98,45,Fishing,Corporate,7,Fan Shop,18.23696327,-66.3705368,USCA,0.0,0.0,399.98,-0.2,1,399.98,399.98,-80.0,East of USA,399.98,First Class,0.5,0,0.5549381609607457,0.15,199.99,-0.1995111975659634,0,-40.0,1,0.999376,High
DEBIT,1,1.74,19.99,32,Golf Apparel,Corporate,6,Outdoors,18.26928902,-66.37059784,USCA,0.0,0.0,19.99,0.09,1,19.99,19.99,1.74,East of USA,19.99,First Class,0.5,0,0.5549381609607457,0.15,9.995,0.0828966174368747,0,0.87,1,0.999368,High
DEBIT,1,4.5,224.96,17,Cleats,Consumer,4,Apparel,18.22582817,-66.04576111,LATAM,74.99,0.25,59.99,0.02,5,299.95,224.96,4.5,Central America,59.99,First Class,0.1666666666666666,0,0.550160672624026,0.5,49.99166666666667,0.0149526499418508,1,0.75,1,0.999346,High
DEBIT,1,-79.17,98.96,46,Indoor/Outdoor Games,Home Office,7,Fan Shop,41.89545822,-87.6884613,USCA,1.0,0.01,49.98,-0.8,2,99.96,98.96,-79.17,Canada,49.98,First Class,0.3333333333333333,0,0.4759427828348505,0.22,33.32,-0.7841719492868463,0,-26.39,1,0.999344,High
PAYMENT,1,-390.57,251.98,43,Camping & Hiking,Home Office,7,Fan Shop,18.21306038,-66.37062073,USCA,48.0,0.16,299.98,-1.55,1,299.98,251.98,-390.57,East of USA,299.98,First Class,0.5,0,0.5549381609607457,0.2033333333333333,149.99,-1.2976609741511065,1,-195.285,1,0.999339,High
CASH,1,-928.11,363.96,9,Cardio Equipment,Consumer,3,Footwear,18.25896835,-66.37052155,LATAM,36.0,0.09,99.99,-2.55,4,399.96,363.96,-928.11,Central America,99.99,First Class,0.2,0,0.550160672624026,0.38,79.99199999999999,-2.314719672785315,0,-185.622,1,0.999338,High
DEBIT,1,59.5,169.99,48,Water Sports,Consumer,7,Fan Shop,32.80532837,-96.62866211,Europe,30.0,0.15,199.99,0.35,1,199.99,169.99,59.5,Western Europe,199.99,First Class,0.5,0,0.5572617350926394,0.1999999999999999,99.995,0.296034628588487,1,29.75,1,0.999333,High
DEBIT,1,6.75,14.07,41,Trade-In,Home Office,6,Outdoors,36.80200195,-119.7001572,Pacific Asia,1.92,0.12,15.99,0.48,1,15.99,14.07,6.75,Oceania,15.99,First Class,0.5,0,0.537626449543548,0.19,7.995,0.3972925250147145,1,3.375,1,0.999331,High
DEBIT,1,126.44,258.04,71,Music,Consumer,9,Discs Shop,40.81129837,-73.94896698,Pacific Asia,2.61,0.01,260.65,0.49,1,260.65,258.04,126.44,Oceania,260.65,First Class,0.5,0,0.537626449543548,0.1533333333333333,130.325,0.4832409707624689,0,63.22,1,0.999329,High
PAYMENT,1,52.02,113.09,18,Men's Footwear,Corporate,4,Apparel,18.26051331,-66.37050629,USCA,16.9,0.13,129.99,0.46,1,129.99,113.09,52.02,Canada,129.99,First Class,0.5,0,0.4759427828348505,0.1933333333333333,64.995,0.3971295518741888,1,26.01,1,0.999328,High
DEBIT,1,47.88,359.98,45,Fishing,Home Office,7,Fan Shop,29.51066399,-98.54441071,Pacific Asia,40.0,0.1,399.98,0.13,1,399.98,359.98,47.88,Eastern Asia,399.98,First Class,0.5,0,0.5416951469583049,0.1833333333333333,199.99,0.119407451743229,0,23.94,1,0.999318,High
DEBIT,1,11.52,115.18,37,Electronics,Consumer,6,Outdoors,42.23968506,-70.98545075,USCA,28.79,0.2,47.99,0.1,3,143.97,115.18,11.52,East of USA,47.99,First Class,0.25,0,0.5549381609607457,0.35,35.9925,0.0794647168379664,1,2.88,1,0.999314,High
DEBIT,1,-575.97,383.98,45,Fishing,Corporate,7,Fan Shop,33.05413055,-96.74402618,Pacific Asia,16.0,0.04,399.98,-1.5,1,399.98,383.98,-575.97,Southeast Asia,399.98,First Class,0.5,0,0.5522151898734177,0.1633333333333333,199.99,-1.436405805775849,0,-287.985,1,0.999313,High
DEBIT,1,159.79,339.98,45,Fishing,Corporate,7,Fan Shop,40.60320664,-73.99624634,Europe,60.0,0.15,399.98,0.47,1,399.98,339.98,159.79,Eastern Europe,399.98,First Class,0.5,0,0.5477099236641222,0.1999999999999999,199.99,0.3984986782383161,1,79.895,1,0.999313,High
