Order Region,Total_Orders,Mean_Probability,High_Risk_Count,Pct_High_Risk
Central Africa,314,0.5519786,104,33.1
Eastern Europe,776,0.53108203,238,30.7
South Asia,1513,0.52867275,457,30.2
South of  USA ,832,0.5282326,265,31.9
Southeast Asia,1955,0.52749366,606,31.0
US Center ,1239,0.52673334,390,31.5
West Asia,1211,0.5263805,386,31.9
Western Europe,5358,0.5252503,1661,31.0
North Africa,665,0.5225543,199,29.9
East of USA,1336,0.52050674,371,27.8
Central America,5624,0.51489204,1592,28.3
Central Asia,122,0.50826454,30,24.6
South America,3074,0.5082287,800,26.0
Northern Europe,1972,0.50660735,566,28.7
West of USA ,1556,0.5054126,444,28.5
Eastern Asia,1428,0.5051519,418,29.3
Southern Europe,1873,0.50350654,523,27.9
Oceania,2042,0.5029569,537,26.3
East Africa,388,0.50158584,110,28.4
Caribbean,1640,0.4962032,450,27.4
West Africa,779,0.49189693,194,24.9
Southern Africa,217,0.48317194,47,21.7
Canada,190,0.45794588,50,26.3
